state,county,NAME
29,005,"Atchison County, Missouri"
39,009,"Athens County, Ohio"
13,003,"Atkinson County, Georgia"
34,001,"Atlantic County, New Jersey"
40,005,"Atoka County, Oklahoma"
28,007,"Attala County, Mississippi"
29,007,"Audrain County, Missouri"
19,009,"Audubon County, Iowa"
39,011,"Auglaize County, Ohio"
51,015,"Augusta County, Virginia"
46,003,"Aurora County, South Dakota"
48,015,"Austin County, Texas"
01,001,"Autauga County, Alabama"
37,011,"Avery County, North Carolina"
22,009,"Avoyelles Parish, Louisiana"
72,011,"Añasco Municipio, Puerto Rico"
08,009,"Baca County, Colorado"
13,005,"Bacon County, Georgia"
48,017,"Bailey County, Texas"
12,003,"Baker County, Florida"
13,007,"Baker County, Georgia"
41,001,"Baker County, Oregon"
01,003,"Baldwin County, Alabama"
13,009,"Baldwin County, Georgia"
21,007,"Ballard County, Kentucky"
24,005,"Baltimore County, Maryland"
24,510,"Baltimore city, Maryland"
45,009,"Bamberg County, South Carolina"
48,019,"Bandera County, Texas"
13,011,"Banks County, Georgia"
31,007,"Banner County, Nebraska"
16,005,"Bannock County, Idaho"
26,013,"Baraga County, Michigan"
20,007,"Barber County, Kansas"
01,005,"Barbour County, Alabama"
54,001,"Barbour County, West Virginia"
72,017,"Barceloneta Municipio, Puerto Rico"
38,003,"Barnes County, North Dakota"
25,001,"Barnstable County, Massachusetts"
45,011,"Barnwell County, South Carolina"
72,019,"Barranquitas Municipio, Puerto Rico"
21,009,"Barren County, Kentucky"
55,005,"Barron County, Wisconsin"
13,013,"Barrow County, Georgia"
26,015,"Barry County, Michigan"
29,009,"Barry County, Missouri"
18,005,"Bartholomew County, Indiana"
20,009,"Barton County, Kansas"
29,011,"Barton County, Missouri"
13,015,"Bartow County, Georgia"
48,021,"Bastrop County, Texas"
29,013,"Bates County, Missouri"
21,011,"Bath County, Kentucky"
51,017,"Bath County, Virginia"
05,005,"Baxter County, Arkansas"
12,005,"Bay County, Florida"
26,017,"Bay County, Michigan"
72,021,"Bayamón Municipio, Puerto Rico"
55,007,"Bayfield County, Wisconsin"
48,023,"Baylor County, Texas"
46,005,"Beadle County, South Dakota"
16,007,"Bear Lake County, Idaho"
37,013,"Beaufort County, North Carolina"
45,013,"Beaufort County, South Carolina"
22,011,"Beauregard Parish, Louisiana"
40,007,"Beaver County, Oklahoma"
42,007,"Beaver County, Pennsylvania"
49,001,"Beaver County, Utah"
30,001,"Beaverhead County, Montana"
27,005,"Becker County, Minnesota"
40,009,"Beckham County, Oklahoma"
42,009,"Bedford County, Pennsylvania"
47,003,"Bedford County, Tennessee"
51,019,"Bedford County, Virginia"
48,025,"Bee County, Texas"
33,001,"Belknap County, New Hampshire"
21,013,"Bell County, Kentucky"
48,027,"Bell County, Texas"
39,013,"Belmont County, Ohio"
27,007,"Beltrami County, Minnesota"
13,017,"Ben Hill County, Georgia"
16,009,"Benewah County, Idaho"
46,007,"Bennett County, South Dakota"
50,003,"Bennington County, Vermont"
38,005,"Benson County, North Dakota"
08,011,"Bent County, Colorado"
05,007,"Benton County, Arkansas"
18,007,"Benton County, Indiana"
19,011,"Benton County, Iowa"
27,009,"Benton County, Minnesota"
28,009,"Benton County, Mississippi"
29,015,"Benton County, Missouri"
41,003,"Benton County, Oregon"
47,005,"Benton County, Tennessee"
53,005,"Benton County, Washington"
26,019,"Benzie County, Michigan"
34,003,"Bergen County, New Jersey"
45,015,"Berkeley County, South Carolina"
54,003,"Berkeley County, West Virginia"
42,011,"Berks County, Pennsylvania"
25,003,"Berkshire County, Massachusetts"
35,001,"Bernalillo County, New Mexico"
13,019,"Berrien County, Georgia"
26,021,"Berrien County, Michigan"
37,015,"Bertie County, North Carolina"
02,050,"Bethel Census Area, Alaska"
48,029,"Bexar County, Texas"
01,007,"Bibb County, Alabama"
13,021,"Bibb County, Georgia"
22,013,"Bienville Parish, Louisiana"
30,003,"Big Horn County, Montana"
56,003,"Big Horn County, Wyoming"
27,011,"Big Stone County, Minnesota"
38,007,"Billings County, North Dakota"
16,011,"Bingham County, Idaho"
19,013,"Black Hawk County, Iowa"
18,009,"Blackford County, Indiana"
37,017,"Bladen County, North Carolina"
16,013,"Blaine County, Idaho"
30,005,"Blaine County, Montana"
31,009,"Blaine County, Nebraska"
40,011,"Blaine County, Oklahoma"
42,013,"Blair County, Pennsylvania"
48,031,"Blanco County, Texas"
51,021,"Bland County, Virginia"
13,023,"Bleckley County, Georgia"
47,007,"Bledsoe County, Tennessee"
01,009,"Blount County, Alabama"
47,009,"Blount County, Tennessee"
27,013,"Blue Earth County, Minnesota"
16,015,"Boise County, Idaho"
28,011,"Bolivar County, Mississippi"
29,017,"Bollinger County, Missouri"
46,009,"Bon Homme County, South Dakota"
17,005,"Bond County, Illinois"
16,017,"Bonner County, Idaho"
16,019,"Bonneville County, Idaho"
05,009,"Boone County, Arkansas"
17,007,"Boone County, Illinois"
18,011,"Boone County, Indiana"
19,015,"Boone County, Iowa"
21,015,"Boone County, Kentucky"
29,019,"Boone County, Missouri"
31,011,"Boone County, Nebraska"
54,005,"Boone County, West Virginia"
48,033,"Borden County, Texas"
48,035,"Bosque County, Texas"
22,015,"Bossier Parish, Louisiana"
51,023,"Botetourt County, Virginia"
38,009,"Bottineau County, North Dakota"
08,013,"Boulder County, Colorado"
16,021,"Boundary County, Idaho"
20,011,"Bourbon County, Kansas"
21,017,"Bourbon County, Kentucky"
48,037,"Bowie County, Texas"
38,011,"Bowman County, North Dakota"
31,013,"Box Butte County, Nebraska"
49,003,"Box Elder County, Utah"
21,019,"Boyd County, Kentucky"
31,015,"Boyd County, Nebraska"
21,021,"Boyle County, Kentucky"
21,023,"Bracken County, Kentucky"
12,007,"Bradford County, Florida"
42,015,"Bradford County, Pennsylvania"
05,011,"Bradley County, Arkansas"
47,011,"Bradley County, Tennessee"
26,023,"Branch County, Michigan"
13,025,"Brantley County, Georgia"
54,007,"Braxton County, West Virginia"
48,039,"Brazoria County, Texas"
48,041,"Brazos County, Texas"
21,025,"Breathitt County, Kentucky"
21,027,"Breckinridge County, Kentucky"
19,017,"Bremer County, Iowa"
12,009,"Brevard County, Florida"
48,043,"Brewster County, Texas"
48,045,"Briscoe County, Texas"
02,060,"Bristol Bay Borough, Alaska"
25,005,"Bristol County, Massachusetts"
44,001,"Bristol County, Rhode Island"
51,520,"Bristol city, Virginia"
30,007,"Broadwater County, Montana"
36,005,"Bronx County, New York"
54,009,"Brooke County, West Virginia"
46,011,"Brookings County, South Dakota"
13,027,"Brooks County, Georgia"
48,047,"Brooks County, Texas"
36,007,"Broome County, New York"
08,014,"Broomfield County, Colorado"
12,011,"Broward County, Florida"
17,009,"Brown County, Illinois"
18,013,"Brown County, Indiana"
20,013,"Brown County, Kansas"
27,015,"Brown County, Minnesota"
31,017,"Brown County, Nebraska"
39,015,"Brown County, Ohio"
46,013,"Brown County, South Dakota"
48,049,"Brown County, Texas"
55,009,"Brown County, Wisconsin"
46,015,"Brule County, South Dakota"
37,019,"Brunswick County, North Carolina"
51,025,"Brunswick County, Virginia"
13,029,"Bryan County, Georgia"
40,013,"Bryan County, Oklahoma"
19,019,"Buchanan County, Iowa"
29,021,"Buchanan County, Missouri"
51,027,"Buchanan County, Virginia"
51,029,"Buckingham County, Virginia"
42,017,"Bucks County, Pennsylvania"
19,021,"Buena Vista County, Iowa"
51,530,"Buena Vista city, Virginia"
31,019,"Buffalo County, Nebraska"
46,017,"Buffalo County, South Dakota"
55,011,"Buffalo County, Wisconsin"
21,029,"Bullitt County, Kentucky"
13,031,"Bulloch County, Georgia"
01,011,"Bullock County, Alabama"
37,021,"Buncombe County, North Carolina"
17,011,"Bureau County, Illinois"
13,033,"Burke County, Georgia"
37,023,"Burke County, North Carolina"
38,013,"Burke County, North Dakota"
38,015,"Burleigh County, North Dakota"
48,051,"Burleson County, Texas"
34,005,"Burlington County, New Jersey"
48,053,"Burnet County, Texas"
55,013,"Burnett County, Wisconsin"
31,021,"Burt County, Nebraska"
01,013,"Butler County, Alabama"
19,023,"Butler County, Iowa"
20,015,"Butler County, Kansas"
21,031,"Butler County, Kentucky"
29,023,"Butler County, Missouri"
31,023,"Butler County, Nebraska"
39,017,"Butler County, Ohio"
42,019,"Butler County, Pennsylvania"
06,007,"Butte County, California"
16,023,"Butte County, Idaho"
46,019,"Butte County, South Dakota"
13,035,"Butts County, Georgia"
37,025,"Cabarrus County, North Carolina"
54,011,"Cabell County, West Virginia"
72,023,"Cabo Rojo Municipio, Puerto Rico"
49,005,"Cache County, Utah"
40,015,"Caddo County, Oklahoma"
22,017,"Caddo Parish, Louisiana"
72,025,"Caguas Municipio, Puerto Rico"
06,009,"Calaveras County, California"
22,019,"Calcasieu Parish, Louisiana"
21,033,"Caldwell County, Kentucky"
29,025,"Caldwell County, Missouri"
37,027,"Caldwell County, North Carolina"
48,055,"Caldwell County, Texas"
22,021,"Caldwell Parish, Louisiana"
50,005,"Caledonia County, Vermont"
01,015,"Calhoun County, Alabama"
05,013,"Calhoun County, Arkansas"
12,013,"Calhoun County, Florida"
13,037,"Calhoun County, Georgia"
17,013,"Calhoun County, Illinois"
19,025,"Calhoun County, Iowa"
26,025,"Calhoun County, Michigan"
28,013,"Calhoun County, Mississippi"
45,017,"Calhoun County, South Carolina"
48,057,"Calhoun County, Texas"
54,013,"Calhoun County, West Virginia"
48,059,"Callahan County, Texas"
29,027,"Callaway County, Missouri"
21,035,"Calloway County, Kentucky"
55,015,"Calumet County, Wisconsin"
24,009,"Calvert County, Maryland"
16,025,"Camas County, Idaho"
42,021,"Cambria County, Pennsylvania"
13,039,"Camden County, Georgia"
29,029,"Camden County, Missouri"
34,007,"Camden County, New Jersey"
37,029,"Camden County, North Carolina"
42,023,"Cameron County, Pennsylvania"
48,061,"Cameron County, Texas"
22,023,"Cameron Parish, Louisiana"
48,063,"Camp County, Texas"
21,037,"Campbell County, Kentucky"
46,021,"Campbell County, South Dakota"
47,013,"Campbell County, Tennessee"
51,031,"Campbell County, Virginia"
56,005,"Campbell County, Wyoming"
72,027,"Camuy Municipio, Puerto Rico"
40,017,"Canadian County, Oklahoma"
13,043,"Candler County, Georgia"
47,015,"Cannon County, Tennessee"
16,027,"Canyon County, Idaho"
72,029,"Canóvanas Municipio, Puerto Rico"
29,031,"Cape Girardeau County, Missouri"
34,009,"Cape May County, New Jersey"
30,009,"Carbon County, Montana"
42,025,"Carbon County, Pennsylvania"
49,007,"Carbon County, Utah"
56,007,"Carbon County, Wyoming"
16,029,"Caribou County, Idaho"
21,039,"Carlisle County, Kentucky"
27,017,"Carlton County, Minnesota"
72,031,"Carolina Municipio, Puerto Rico"
24,011,"Caroline County, Maryland"
51,033,"Caroline County, Virginia"
05,015,"Carroll County, Arkansas"
13,045,"Carroll County, Georgia"
17,015,"Carroll County, Illinois"
18,015,"Carroll County, Indiana"
19,027,"Carroll County, Iowa"
21,041,"Carroll County, Kentucky"
24,013,"Carroll County, Maryland"
28,015,"Carroll County, Mississippi"
29,033,"Carroll County, Missouri"
33,003,"Carroll County, New Hampshire"
39,019,"Carroll County, Ohio"
47,017,"Carroll County, Tennessee"
51,035,"Carroll County, Virginia"
32,510,"Carson City, Nevada"
48,065,"Carson County, Texas"
21,043,"Carter County, Kentucky"
29,035,"Carter County, Missouri"
30,011,"Carter County, Montana"
40,019,"Carter County, Oklahoma"
47,019,"Carter County, Tennessee"
37,031,"Carteret County, North Carolina"
27,019,"Carver County, Minnesota"
30,013,"Cascade County, Montana"
21,045,"Casey County, Kentucky"
17,017,"Cass County, Illinois"
18,017,"Cass County, Indiana"
19,029,"Cass County, Iowa"
26,027,"Cass County, Michigan"
27,021,"Cass County, Minnesota"
29,037,"Cass County, Missouri"
31,025,"Cass County, Nebraska"
38,017,"Cass County, North Dakota"
48,067,"Cass County, Texas"
16,031,"Cassia County, Idaho"
48,069,"Castro County, Texas"
37,033,"Caswell County, North Carolina"
22,025,"Catahoula Parish, Louisiana"
37,035,"Catawba County, North Carolina"
72,033,"Cataño Municipio, Puerto Rico"
13,047,"Catoosa County, Georgia"
35,003,"Catron County, New Mexico"
36,009,"Cattaraugus County, New York"
38,019,"Cavalier County, North Dakota"
72,035,"Cayey Municipio, Puerto Rico"
36,011,"Cayuga County, New York"
24,015,"Cecil County, Maryland"
19,031,"Cedar County, Iowa"
29,039,"Cedar County, Missouri"
31,027,"Cedar County, Nebraska"
72,037,"Ceiba Municipio, Puerto Rico"
42,027,"Centre County, Pennsylvania"
19,033,"Cerro Gordo County, Iowa"
08,015,"Chaffee County, Colorado"
01,017,"Chambers County, Alabama"
48,071,"Chambers County, Texas"
17,019,"Champaign County, Illinois"
39,021,"Champaign County, Ohio"
29,041,"Chariton County, Missouri"
51,036,"Charles City County, Virginia"
24,017,"Charles County, Maryland"
46,023,"Charles Mix County, South Dakota"
45,019,"Charleston County, South Carolina"
26,029,"Charlevoix County, Michigan"
12,015,"Charlotte County, Florida"
51,037,"Charlotte County, Virginia"
51,540,"Charlottesville city, Virginia"
13,049,"Charlton County, Georgia"
20,017,"Chase County, Kansas"
31,029,"Chase County, Nebraska"
13,051,"Chatham County, Georgia"
37,037,"Chatham County, North Carolina"
13,053,"Chattahoochee County, Georgia"
13,055,"Chattooga County, Georgia"
20,019,"Chautauqua County, Kansas"
36,013,"Chautauqua County, New York"
35,005,"Chaves County, New Mexico"
47,021,"Cheatham County, Tennessee"
26,031,"Cheboygan County, Michigan"
53,007,"Chelan County, Washington"
36,015,"Chemung County, New York"
36,017,"Chenango County, New York"
01,019,"Cherokee County, Alabama"
13,057,"Cherokee County, Georgia"
19,035,"Cherokee County, Iowa"
20,021,"Cherokee County, Kansas"
37,039,"Cherokee County, North Carolina"
40,021,"Cherokee County, Oklahoma"
45,021,"Cherokee County, South Carolina"
48,073,"Cherokee County, Texas"
31,031,"Cherry County, Nebraska"
51,550,"Chesapeake city, Virginia"
33,005,"Cheshire County, New Hampshire"
42,029,"Chester County, Pennsylvania"
45,023,"Chester County, South Carolina"
47,023,"Chester County, Tennessee"
45,025,"Chesterfield County, South Carolina"
51,041,"Chesterfield County, Virginia"
08,017,"Cheyenne County, Colorado"
20,023,"Cheyenne County, Kansas"
31,033,"Cheyenne County, Nebraska"
19,037,"Chickasaw County, Iowa"
28,017,"Chickasaw County, Mississippi"
05,017,"Chicot County, Arkansas"
48,075,"Childress County, Texas"
01,021,"Chilton County, Alabama"
26,033,"Chippewa County, Michigan"
27,023,"Chippewa County, Minnesota"
55,017,"Chippewa County, Wisconsin"
27,025,"Chisago County, Minnesota"
50,007,"Chittenden County, Vermont"
01,023,"Choctaw County, Alabama"
28,019,"Choctaw County, Mississippi"
40,023,"Choctaw County, Oklahoma"
30,015,"Chouteau County, Montana"
37,041,"Chowan County, North Carolina"
17,021,"Christian County, Illinois"
21,047,"Christian County, Kentucky"
29,043,"Christian County, Missouri"
32,001,"Churchill County, Nevada"
72,039,"Ciales Municipio, Puerto Rico"
35,006,"Cibola County, New Mexico"
72,041,"Cidra Municipio, Puerto Rico"
40,025,"Cimarron County, Oklahoma"
12,017,"Citrus County, Florida"
41,005,"Clackamas County, Oregon"
28,021,"Claiborne County, Mississippi"
47,025,"Claiborne County, Tennessee"
22,027,"Claiborne Parish, Louisiana"
53,009,"Clallam County, Washington"
26,035,"Clare County, Michigan"
45,027,"Clarendon County, South Carolina"
42,031,"Clarion County, Pennsylvania"
05,019,"Clark County, Arkansas"
16,033,"Clark County, Idaho"
17,023,"Clark County, Illinois"
18,019,"Clark County, Indiana"
20,025,"Clark County, Kansas"
21,049,"Clark County, Kentucky"
29,045,"Clark County, Missouri"
32,003,"Clark County, Nevada"
39,023,"Clark County, Ohio"
46,025,"Clark County, South Dakota"
53,011,"Clark County, Washington"
55,019,"Clark County, Wisconsin"
01,025,"Clarke County, Alabama"
13,059,"Clarke County, Georgia"
19,039,"Clarke County, Iowa"
28,023,"Clarke County, Mississippi"
51,043,"Clarke County, Virginia"
41,007,"Clatsop County, Oregon"
01,027,"Clay County, Alabama"
05,021,"Clay County, Arkansas"
12,019,"Clay County, Florida"
13,061,"Clay County, Georgia"
17,025,"Clay County, Illinois"
18,021,"Clay County, Indiana"
19,041,"Clay County, Iowa"
20,027,"Clay County, Kansas"
21,051,"Clay County, Kentucky"
27,027,"Clay County, Minnesota"
28,025,"Clay County, Mississippi"
29,047,"Clay County, Missouri"
31,035,"Clay County, Nebraska"
37,043,"Clay County, North Carolina"
46,027,"Clay County, South Dakota"
47,027,"Clay County, Tennessee"
48,077,"Clay County, Texas"
54,015,"Clay County, West Virginia"
13,063,"Clayton County, Georgia"
19,043,"Clayton County, Iowa"
08,019,"Clear Creek County, Colorado"
42,033,"Clearfield County, Pennsylvania"
16,035,"Clearwater County, Idaho"
27,029,"Clearwater County, Minnesota"
01,029,"Cleburne County, Alabama"
05,023,"Cleburne County, Arkansas"
39,025,"Clermont County, Ohio"
05,025,"Cleveland County, Arkansas"
37,045,"Cleveland County, North Carolina"
40,027,"Cleveland County, Oklahoma"
13,065,"Clinch County, Georgia"
17,027,"Clinton County, Illinois"
18,023,"Clinton County, Indiana"
19,045,"Clinton County, Iowa"
21,053,"Clinton County, Kentucky"
26,037,"Clinton County, Michigan"
29,049,"Clinton County, Missouri"
36,019,"Clinton County, New York"
39,027,"Clinton County, Ohio"
42,035,"Clinton County, Pennsylvania"
20,029,"Cloud County, Kansas"
28,027,"Coahoma County, Mississippi"
40,029,"Coal County, Oklahoma"
72,043,"Coamo Municipio, Puerto Rico"
13,067,"Cobb County, Georgia"
04,003,"Cochise County, Arizona"
48,079,"Cochran County, Texas"
47,029,"Cocke County, Tennessee"
04,005,"Coconino County, Arizona"
46,029,"Codington County, South Dakota"
01,031,"Coffee County, Alabama"
13,069,"Coffee County, Georgia"
47,031,"Coffee County, Tennessee"
20,031,"Coffey County, Kansas"
48,081,"Coke County, Texas"
01,033,"Colbert County, Alabama"
29,051,"Cole County, Missouri"
48,083,"Coleman County, Texas"
17,029,"Coles County, Illinois"
31,037,"Colfax County, Nebraska"
35,007,"Colfax County, New Mexico"
45,029,"Colleton County, South Carolina"
12,021,"Collier County, Florida"
48,085,"Collin County, Texas"
48,087,"Collingsworth County, Texas"
51,570,"Colonial Heights city, Virginia"
48,089,"Colorado County, Texas"
13,071,"Colquitt County, Georgia"
05,027,"Columbia County, Arkansas"
12,023,"Columbia County, Florida"
13,073,"Columbia County, Georgia"
36,021,"Columbia County, New York"
41,009,"Columbia County, Oregon"
42,037,"Columbia County, Pennsylvania"
53,013,"Columbia County, Washington"
55,021,"Columbia County, Wisconsin"
39,029,"Columbiana County, Ohio"
37,047,"Columbus County, North Carolina"
06,011,"Colusa County, California"
48,091,"Comal County, Texas"
20,033,"Comanche County, Kansas"
40,031,"Comanche County, Oklahoma"
48,093,"Comanche County, Texas"
72,045,"Comerío Municipio, Puerto Rico"
48,095,"Concho County, Texas"
22,029,"Concordia Parish, Louisiana"
01,035,"Conecuh County, Alabama"
08,021,"Conejos County, Colorado"
06,013,"Contra Costa County, California"
56,009,"Converse County, Wyoming"
05,029,"Conway County, Arkansas"
13,075,"Cook County, Georgia"
17,031,"Cook County, Illinois"
27,031,"Cook County, Minnesota"
48,097,"Cooke County, Texas"
29,053,"Cooper County, Missouri"
33,007,"Coos County, New Hampshire"
41,011,"Coos County, Oregon"
01,037,"Coosa County, Alabama"
28,029,"Copiah County, Mississippi"
72,047,"Corozal Municipio, Puerto Rico"
46,031,"Corson County, South Dakota"
36,023,"Cortland County, New York"
48,099,"Coryell County, Texas"
39,031,"Coshocton County, Ohio"
08,023,"Costilla County, Colorado"
48,101,"Cottle County, Texas"
40,033,"Cotton County, Oklahoma"
27,033,"Cottonwood County, Minnesota"
01,039,"Covington County, Alabama"
28,031,"Covington County, Mississippi"
51,580,"Covington city, Virginia"
13,077,"Coweta County, Georgia"
20,035,"Cowley County, Kansas"
53,015,"Cowlitz County, Washington"
40,035,"Craig County, Oklahoma"
51,045,"Craig County, Virginia"
05,031,"Craighead County, Arkansas"
48,103,"Crane County, Texas"
37,049,"Craven County, North Carolina"
05,033,"Crawford County, Arkansas"
13,079,"Crawford County, Georgia"
17,033,"Crawford County, Illinois"
18,025,"Crawford County, Indiana"
19,047,"Crawford County, Iowa"
20,037,"Crawford County, Kansas"
26,039,"Crawford County, Michigan"
29,055,"Crawford County, Missouri"
39,033,"Crawford County, Ohio"
42,039,"Crawford County, Pennsylvania"
55,023,"Crawford County, Wisconsin"
40,037,"Creek County, Oklahoma"
01,041,"Crenshaw County, Alabama"
13,081,"Crisp County, Georgia"
05,035,"Crittenden County, Arkansas"
21,055,"Crittenden County, Kentucky"
47,033,"Crockett County, Tennessee"
48,105,"Crockett County, Texas"
41,013,"Crook County, Oregon"
56,011,"Crook County, Wyoming"
48,107,"Crosby County, Texas"
05,037,"Cross County, Arkansas"
27,035,"Crow Wing County, Minnesota"
08,025,"Crowley County, Colorado"
48,109,"Culberson County, Texas"
72,049,"Culebra Municipio, Puerto Rico"
01,043,"Cullman County, Alabama"
51,047,"Culpeper County, Virginia"
17,035,"Cumberland County, Illinois"
21,057,"Cumberland County, Kentucky"
23,005,"Cumberland County, Maine"
34,011,"Cumberland County, New Jersey"
37,051,"Cumberland County, North Carolina"
42,041,"Cumberland County, Pennsylvania"
47,035,"Cumberland County, Tennessee"
51,049,"Cumberland County, Virginia"
31,039,"Cuming County, Nebraska"
37,053,"Currituck County, North Carolina"
35,009,"Curry County, New Mexico"
41,015,"Curry County, Oregon"
08,027,"Custer County, Colorado"
16,037,"Custer County, Idaho"
30,017,"Custer County, Montana"
31,041,"Custer County, Nebraska"
40,039,"Custer County, Oklahoma"
46,033,"Custer County, South Dakota"
39,035,"Cuyahoga County, Ohio"
13,083,"Dade County, Georgia"
29,057,"Dade County, Missouri"
49,009,"Daggett County, Utah"
27,037,"Dakota County, Minnesota"
31,043,"Dakota County, Nebraska"
01,045,"Dale County, Alabama"
48,111,"Dallam County, Texas"
01,047,"Dallas County, Alabama"
05,039,"Dallas County, Arkansas"
19,049,"Dallas County, Iowa"
29,059,"Dallas County, Missouri"
48,113,"Dallas County, Texas"
55,025,"Dane County, Wisconsin"
30,019,"Daniels County, Montana"
51,590,"Danville city, Virginia"
37,055,"Dare County, North Carolina"
39,037,"Darke County, Ohio"
45,031,"Darlington County, South Carolina"
42,043,"Dauphin County, Pennsylvania"
37,057,"Davidson County, North Carolina"
47,037,"Davidson County, Tennessee"
37,059,"Davie County, North Carolina"
18,027,"Daviess County, Indiana"
21,059,"Daviess County, Kentucky"
29,061,"Daviess County, Missouri"
19,051,"Davis County, Iowa"
49,011,"Davis County, Utah"
46,035,"Davison County, South Dakota"
31,045,"Dawes County, Nebraska"
13,085,"Dawson County, Georgia"
30,021,"Dawson County, Montana"
31,047,"Dawson County, Nebraska"
48,115,"Dawson County, Texas"
46,037,"Day County, South Dakota"
35,011,"De Baca County, New Mexico"
22,031,"De Soto Parish, Louisiana"
17,039,"De Witt County, Illinois"
01,049,"DeKalb County, Alabama"
13,089,"DeKalb County, Georgia"
17,037,"DeKalb County, Illinois"
18,033,"DeKalb County, Indiana"
29,063,"DeKalb County, Missouri"
47,041,"DeKalb County, Tennessee"
12,027,"DeSoto County, Florida"
28,033,"DeSoto County, Mississippi"
48,123,"DeWitt County, Texas"
48,117,"Deaf Smith County, Texas"
18,029,"Dearborn County, Indiana"
13,087,"Decatur County, Georgia"
18,031,"Decatur County, Indiana"
19,053,"Decatur County, Iowa"
20,039,"Decatur County, Kansas"
47,039,"Decatur County, Tennessee"
30,023,"Deer Lodge County, Montana"
39,039,"Defiance County, Ohio"
06,015,"Del Norte County, California"
18,035,"Delaware County, Indiana"
19,055,"Delaware County, Iowa"
36,025,"Delaware County, New York"
39,041,"Delaware County, Ohio"
40,041,"Delaware County, Oklahoma"
42,045,"Delaware County, Pennsylvania"
08,029,"Delta County, Colorado"
26,041,"Delta County, Michigan"
48,119,"Delta County, Texas"
02,068,"Denali Borough, Alaska"
29,065,"Dent County, Missouri"
